"city","weather","visibility","temp","temp_min","temp_max","pressure","humidity","wind_speed","wind_deg","forecast_datetime"
"Paris","Rain",10000,19.66,19.66,19.66,1013,72,1.02,61,"2024-07-13 12:00:00"
"Paris","Rain",10000,20.31,20.31,20.31,1013,71,1.52,162,"2024-07-13 15:00:00"
"Paris","Clouds",10000,21.06,21.06,21.06,1013,67,1.31,117,"2024-07-13 18:00:00"
"Paris","Rain",10000,18.58,18.58,18.58,1014,83,1.16,99,"2024-07-13 21:00:00"
"Paris","Clouds",10000,17.07,17.07,17.07,1014,91,1.35,119,"2024-07-14 00:00:00"
"Paris","Clouds",10000,16.28,16.28,16.28,1013,94,1.34,152,"2024-07-14 03:00:00"
"Paris","Rain",10000,17.4,17.4,17.4,1013,89,1.54,136,"2024-07-14 06:00:00"
"Paris","Clouds",10000,20.91,20.91,20.91,1013,70,2.48,180,"2024-07-14 09:00:00"
"Suzhou","Clouds",10000,31.37,31.37,31.37,1003,66,1.95,240,"2024-07-09 12:00:00"
"Suzhou","Clouds",10000,30.87,29.87,30.87,1003,68,1.32,343,"2024-07-09 15:00:00"
"Suzhou","Rain",10000,29.74,28.92,29.74,1002,74,0.54,248,"2024-07-09 18:00:00"
"Suzhou","Clouds",10000,28.34,28.34,28.34,1003,80,1.2,183,"2024-07-09 21:00:00"
"Suzhou","Rain",10000,29.91,29.91,29.91,1004,77,2.12,276,"2024-07-10 00:00:00"
"Suzhou","Rain",10000,27.8,27.8,27.8,1004,85,2.47,298,"2024-07-10 03:00:00"
"Suzhou","Rain",10000,28.12,28.12,28.12,1004,85,3.68,275,"2024-07-10 06:00:00"
"Suzhou","Clouds",10000,27.66,27.66,27.66,1003,87,1.85,265,"2024-07-10 09:00:00"
"Suzhou","Clouds",10000,27.17,27.17,27.17,1004,87,3.15,295,"2024-07-10 12:00:00"
"Suzhou","Clouds",10000,26.61,26.61,26.61,1004,90,1.76,291,"2024-07-10 15:00:00"
"Suzhou","Clouds",10000,26.16,26.16,26.16,1003,90,1.6,320,"2024-07-10 18:00:00"
"Suzhou","Rain",10000,25.52,25.52,25.52,1002,94,1.19,332,"2024-07-10 21:00:00"
"Suzhou","Rain",7772,23.75,23.75,23.75,1004,97,3.57,360,"2024-07-11 00:00:00"
"Suzhou","Rain",10000,22.59,22.59,22.59,1004,90,4.57,56,"2024-07-11 03:00:00"
"Suzhou","Rain",10000,22.34,22.34,22.34,1003,94,2.43,78,"2024-07-11 06:00:00"
"Suzhou","Rain",10000,22.76,22.76,22.76,1003,94,1.04,60,"2024-07-11 09:00:00"
"Suzhou","Rain",10000,22.48,22.48,22.48,1002,97,1.94,134,"2024-07-11 12:00:00"
"Suzhou","Clouds",10000,22.76,22.76,22.76,1002,97,2.17,155,"2024-07-11 15:00:00"
"Suzhou","Clouds",10000,23.29,23.29,23.29,1001,97,2.33,165,"2024-07-11 18:00:00"
